"code_article";"unite"
"00051349";"COL"
"00051350";"PI"
"00051351";"SAC"
"00051354";"SAC"
"00051355";"PI"
"00051357";"PI"
"00051359";"PI"
"00051360";"SAC"
"00051361";"BOITE"
"00051363";"SAC"
"00051366";"COL"
"00051372";"POC"
"00051374";"POC"
"00051375";"POC"
"00051378";"SAC"
"00051392";"COL"
"00051408";"PI"
"00051409";"PI"
"00051410";"PI"
"00051413";"POC"
"00051417";"PI"
"00051424";"POC"
"00051427";"BOITE"
"00051428";"POC"
"00051431";"BOITE"
"00051432";"PI"
"00051434";"PI"
"00051436";"SEAU"
"00051513";"BOITE"
"00051520";"BOITE"
"00051523";"BOITE"
"00051545";"BOITE"
"00051546";"PI"
"00051561";"BOITE"
"00051582";"PI"
"00051615";"COL"
"00051635";"POC"
"00051650";"COL"
"00051701";"PI"
"00051712";"BOITE"
"00051715";"BOITE"
"00051735";"BOITE"
"00051736";"POC"
"00051749";"BOITE"
"00051750";"POC"
"00051751";"POC"
"00051752";"POC"
"00051753";"POC"
"00051754";"POC"
"00051755";"KG"
"00051756";"POC"
"00051757";"POC"
"00051758";"POC"
"00051759";"BOITE"
"00051760";"POC"
"00051764";"POC"
"00051767";"POC"
"00051769";"POC"
"00051770";"BOITE"
"00051792";"BID"
"00051795";"PI"
"00051799";"BID"
"00051802";"BID"
"00051823";"BOITE"
"00051824";"BOITE"
"00051834";"PI"
"00051849";"POC"
"00051851";"POC"
"00052300";"POC"
"00052303";"BID"
"00052317";"CAR"
"00052318";"CAR"
"00052322";"POC"
"00052323";"SEAU"
"00052324";"CAR"
"00052325";"CAR"
"00052329";"PI"
"00052348";"BOITE"
"00052357";"SEAU"
"00052364";"PI"
"00053320";"CAR"
"00053324";"PI"
"00057003";"BOITE"
"00057138";"PI"
"00058081";"PI"
"00058082";"PI"
"00060205";"PI"
"00060218";"PI"
"00060236";"PI"
"00060257";"POC"
"00060260";"BARQ"
"00060274";"PI"
"00060278";"BOITE"
"00060281";"BOITE"
"00060282";"BOITE"
"00060283";"BOITE"
"00060284";"BOITE"
"00060307";"PI"
"00060308";"PI"
"00060318";"POC"
"00060399";"PI"
"00060401";"PI"
"00060402";"PI"
"00060409";"PI"
"00060411";"PI"
"00060412";"POC"
"00060416";"PI"
"00060417";"PI"
"00060418";"PI"
"00060420";"POC"
"00060421";"PI"
"00060426";"PI"
"00060429";"KG"
"00060433";"PI"
"00060445";"KG"
"00060458";"PI"
"00060501";"PI"
"00060520";"COL"
"00060521";"COL"
"00060550";"COL"
"00064100";"PI"
"00064711";"PI"
"00065638";"PI"
"00065641";"COL"
"00067023";"PI"
"00067103";"BARQ"
"00068042";"PI"
"00070101";"POC"
"00070119";"PI"
"00070123";"BARQ"
"00070129";"PI"
"00070132";"PI"
"00070140";"PI"
"00070144";"PI"
"00070147";"PI"
"00070149";"BARQ"
"00070157";"BARQ"
"00070169";"POC"
"00070191";"PI"
"00070246";"BARQ"
"00070304";"PI"
"00070501";"PI"
"00072020";"POC"
"00072057";"COL"
"00074510";"BOITE"
"00090101";"PI"
"00090105";"POC"
"00090107";"POC"
"00090111";"PI"
"00090112";"PI"
"00090116";"POC"
"00090117";"POC"
"00090122";"BOITE"
"00090123";"PI"
"00090124";"PI"
"00090126";"BARQ"
"00090131";"PI"
"00090134";"PI"
"00090152";"PI"
"00090153";"PI"
"00090163";"COL"
"00090174";"POC"
"00090177";"CAR"
"00090180";"PI"
"00090181";"POC"
"00090250";"PI"
"00090300";"POC"
"00092627";"PI"
"00092885";"POC"
"00092887";"POC"
"00092889";"POC"
"00095326";"PI"
"00095619";"POC"
"00095740";"COL"
"00095856";"COL"
"00095901";"POC"
"000BF007";"BOITE"
"000BF271";"PI"
"000BF618";"BOITE"
"000BF636";"BOITE"
"000BF886";"BOITE"
"000BS009";"BOITE"
"000BS011";"BOITE"
"000BS610";"BARQ"
"000S0458";"COL"
"000S0512";"POC"
"000S0515";"POC"
"000S0516";"POC"
"000S0685";"POC"
"000S0693";"POC"
"000S0801";"COL"
"000S0908";"COL"
"000S1539";"CAR"
"000S1541";"CAR"
"00101115";"CAR"
"00110012";"POC"
"00110219";"POC"
"00110220";"POC"
"00110242";"POC"
"00110395";"CAR"
"00110401";"BARQ"
"00110601";"CAR"
"00110602";"CAR"
"00110603";"CAR"
"00110609";"CAR"
"00110904";"COL"
"00111011";"CAR"
"00111012";"CAR"
"00111015";"CAR"
"00111160";"COL"
"00111216";"CAR"
"00111315";"BARQ"
"00111551";"COL"
"00111743";"COL"
"00111903";"COL"
"00117437";"PI"
"00120109";"POC"
"00120131";"COL"
"00120142";"LOT"
"00120143";"LOT"
"00120149";"PI"
"00120153";"CAR"
"00120156";"LOT"
"00120162";"POC"
"00120163";"COL"
"00120164";"CAR"
"00120172";"PAQUET"
"00120185";"PI"
"00120204";"BOITE"
"00120206";"BOITE"
"00120209";"POC"
"00120243";"PI"
"00120249";"PI"
"00120263";"PI"
"00120274";"PI"
"00120280";"PI"
"00120310";"CAR"
"00120311";"CAR"
"00120324";"POC"
"00120500";"CAR"
"00120501";"CAR"
"00120523";"CAR"
"00120574";"CAR"
"00120575";"CAR"
"00120577";"CAR"
"00120916";"BOITE"
"00121166";"CAR"
"00121200";"POC"
"00121357";"COL"
"00140210";"POC"
"00150017";"POC"
"00150035";"COL"
"00150038";"COL"
"00150048";"COL"
"00150049";"COL"
"00150107";"CAR"
"00150360";"COL"
"00151105";"BOITE"
"00151310";"BARQ"
"00151314";"BOITE"
"00151825";"BOITE"
"00151845";"BOITE"
"00151847";"COL"
"00151849";"BOITE"
"00151851";"BOITE"
"00161550";"POC"
"00202017";"BOITE"
"00210820";"KG"
"00215153";"BID"
"00250034";"PI"
"00250069";"SAC"
"00305604";"BOITE"
"00305608";"BOITE"
"00331534";"POC"
"00350102";"PI"
"00350620";"SEAU"
"00350621";"BOUTEILLE"
"00350625";"PI"
"00351270";"BID"
"00351275";"PI"
"00351312";"POC"
"00351315";"POC"
"00351318";"POC"
"00351319";"POC"
"00351321";"BOITE"
"00351327";"POC"
"00351329";"POC"
"00351332";"POC"
"00351334";"POC"
"00351335";"POC"
"00351337";"SACH"
"00351339";"PI"
"00351344";"PI"
"00351351";"POC"
"00351358";"POC"
"00351359";"POC"
"00351360";"PI"
"00351373";"POC"
"00351378";"POC"
"00351400";"POC"
"00351518";"BOITE"
"00351721";"BOITE"
"00351749";"BOITE"
"00351754";"POC"
"00351756";"POC"
"00351758";"POC"
"00351759";"SEAU"
"00352344";"PI"
"00401120";"PACK"
"00401130";"PACK"
"00401132";"BOITE"
"00401133";"SEAU"
"00401140";"PACK"
"00401165";"PI"
"00401203";"PACK"
"00401204";"PACK"
